INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,EDITOVATELNÁ ČÁST,,,,
id,,místo odjezdu / příjezdu,směr,termín,lokalita ,volná místa,,aktuální cena,základní cena,počáteční cena,týdenní navýšení,celková kapacita
#22625,SPOLEČNÁ DOPRAVA,Zábřeh,Tam i zpět,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,346,346,346,0,100
#22626,SPOLEČNÁ DOPRAVA,Zábřeh,Tam i zpět,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,346,346,346,0,100
#22627,SPOLEČNÁ DOPRAVA,Zábřeh,Tam i zpět,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,346,346,346,0,100
#22628,SPOLEČNÁ DOPRAVA,Zábřeh,Tam i zpět,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,346,346,346,0,100
#22629,SPOLEČNÁ DOPRAVA,Zábřeh,Tam i zpět,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,346,346,346,0,100
#22630,SPOLEČNÁ DOPRAVA,Zábřeh,Tam i zpět,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,346,346,346,0,100
#22631,SPOLEČNÁ DOPRAVA,Zábřeh,Tam i zpět,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,346,346,346,0,100
#22632,SPOLEČNÁ DOPRAVA,Zábřeh,Tam i zpět,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,346,346,346,0,100
#22615,SPOLEČNÁ DOPRAVA,Zábřeh,Z tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,173,173,173,0,100
#22616,SPOLEČNÁ DOPRAVA,Zábřeh,Z tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,173,173,173,0,100
#22617,SPOLEČNÁ DOPRAVA,Zábřeh,Z tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,173,173,173,0,100
#22618,SPOLEČNÁ DOPRAVA,Zábřeh,Z tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,173,173,173,0,100
#22619,SPOLEČNÁ DOPRAVA,Zábřeh,Z tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,173,173,173,0,100
#22621,SPOLEČNÁ DOPRAVA,Zábřeh,Z tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,173,173,173,0,100
#22622,SPOLEČNÁ DOPRAVA,Zábřeh,Z tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,173,173,173,0,100
