,,,,,,,,,,,,
,INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,MĚNITELNÁ ČÁST,,,
,id,zaměření,lokalita,typ tábora,termín,stav,aktuální cena,,základní cena,zlevněná cena,týdenní navýšení,kapacita
,#2269,AIRSOFT CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,,,4600,3300,39,25
,#2271,AIRSOFT CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,,,4600,3300,39,32
,#2272,AIRSOFT CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,,,4600,3300,39,29
,#2280,AIRSOFT CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,,,4600,3300,39,31
,#2278,AIRSOFT CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,,,4600,3300,39,26
,#2276,AIRSOFT CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,,,4600,3300,39,29
,#2274,AIRSOFT CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,,,4600,3300,39,23
,#2270,AIRSOFT CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,,,2400,1700,22,4
,#2282,AIRSOFT CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,,,2400,1700,22,6
,#2281,AIRSOFT CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,,,2400,1700,22,3
,#2279,AIRSOFT CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,4. týden ( 23. 7. 2018 - 28. 7. 2018),aktivní,,,2400,1700,22,6
,#2277,AIRSOFT CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,,,2400,1700,22,6
,#2275,AIRSOFT CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,,,2400,1700,22,3
,#2273,AIRSOFT CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,,,2400,1700,22,3
,#2285,MINI ARMY CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,,,4100,2900,37,20
,#2287,MINI ARMY CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,,,2100,1500,19,5
,#352,TÁBOR SEBEOBRANY,LANWOOD - LANŠKROUN,POBYTOVÝ,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,,,4600,3300,39,18
,#2289,TÁBOR SEBEOBRANY,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,,,2400,1700,22,4
,#2314,SURVIVAL CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,,,4100,2900,37,17
,#2315,SURVIVAL CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,,,2100,1500,19,4
,#2332,PARKOUR CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,,,5100,3700,41,43
,#2330,PARKOUR CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,,,5100,3700,41,39
,#2328,PARKOUR CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,,,5100,3700,41,41
,#2326,PARKOUR CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,,,5100,3700,41,33
,#2324,PARKOUR CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,,,5100,3700,41,44
,#2322,PARKOUR CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,,,5100,3700,41,48
,#2320,PARKOUR CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,,,5100,3700,41,40
