,,,,,,,,,,,,,,,,,,
,INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,MĚNITELNÁ ČÁST,,,,,,OBSAZENOST,CELKEM,vzorec pro navyšování,P4*S4+L4+R4
,id,zaměření,lokalita,typ tábora,termín,stav,volná místa,,aktuální cena,základní cena,počáteční cena,týdenní navýšení,celková kapacita,,objednávky,505,"hodnota týdenního navýšení do
8.4.2026","hodnota navýšení za objednávku tábora (klasika + příměstský 30 Kč, ostatní 50 Kč)"
,#9433,KLASICKÝ TÁBOR,RC Lanwood - Lanškroun,Pobytový tábor,1. týden (28. 6. 2026 - 4. 7. 2026),aktivní,3,,5960,6100,4900,20,19,,16,5960,580,30
,#9432,KLASICKÝ TÁBOR,RC Lanwood - Lanškroun,Pobytový tábor,2. týden (5. 7. 2026 - 11. 7. 2026),aktivní,2,,5870,6100,4900,20,15,,13,5870,580,30
,#9431,KLASICKÝ TÁBOR,RC Lanwood - Lanškroun,Pobytový tábor,3. týden (12. 7. 2026 - 18. 7. 2026),aktivní,3,,5690,6100,4900,20,10,,7,5690,580,30
,#9430,KLASICKÝ TÁBOR,RC Lanwood - Lanškroun,Pobytový tábor,4. týden (19. 7. 2026 - 25. 7. 2026),aktivní,3,,5780,6100,4900,20,13,,10,5780,580,30
,#9429,KLASICKÝ TÁBOR,RC Lanwood - Lanškroun,Pobytový tábor,5. týden (26. 7. 2026 - 1. 8. 2026),aktivní,2,,5930,6100,4900,20,17,,15,5930,580,30
,#9428,KLASICKÝ TÁBOR,RC Lanwood - Lanškroun,Pobytový tábor,6. týden (2. 8. 2026 - 8. 8. 2026),aktivní,5,,5780,6100,4900,20,15,,10,5780,580,30
,#9427,KLASICKÝ TÁBOR,RC Lanwood - Lanškroun,Pobytový tábor,7. týden (9. 8. 2026 - 15. 8. 2026),aktivní,1,,5960,6100,4900,20,17,,16,5960,580,30
,#28376,KLASICKÝ TÁBOR,RC Lanwood - Lanškroun,Pobytový tábor,8. týden (16. 8. 2026 - 22. 8. 2026),aktivní,2,,5690,6100,4900,20,9,,7,5690,580,30
,#30760,KLASICKÝ TÁBOR,RC Lanwood - Lanškroun,Pobytový tábor,9. týden (23. 8. 2026 - 29. 8. 2026),aktivní,6,,5540,6100,4900,20,8,,2,5540,580,30
